city,years,area,price,avg_heat_per_m,url
Vilnius,2018,"46,39",87000,"21,34",https://www.aruodas.lt/butai-vilniuje-pasilaiciuose-sviliskiu-g-statinio-uzbaigimo-aktu-namas-valstybines-1-2798901/
Vilnius,2018,"52,06",98700,,https://www.aruodas.lt/butai-vilniuje-snipiskese-giedraiciu-g-parduodamas-irengtas-2-kambariu-butas-naujame-1-2731449/
Vilnius,2016,64,178500,,https://www.aruodas.lt/butai-vilniuje-zveryne-kestucio-g-zveryno-sirdyje-kestucio-gatveje-1-2728453/
Kaunas,1961,"56,77",64500,"64,15",https://www.aruodas.lt/butai-kaune-dainavoje-k-barsausko-g-parduodamas-sviesus-ir-jaukus-3-ju-kambariu-1-2800139/
Vilnius,2018,"47,81",119500,,https://www.aruodas.lt/butai-vilniuje-snipiskese-lvovo-g-akcija-iki-2019-m-spalio-men-15-d-1-2799125/
Vilnius,2019,"82,48",119300,,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-demesio-spalio-17-d-ketvirtadieni-15-19-1-2794279/
Klaipėda,2019,"40,31",58000,,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-atviru-duru-dienos-spalio-1718-d-1-2793275/
Kaunas,1964,17,12000,"11,05",https://www.aruodas.lt/butai-kaune-dainavoje-chemijos-g-puiki-investicija-bendrabutis-netoli-ktu-1-2796635/
Vilnius,2018,"36,8",97000,,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-1-o-kambario-butas-su-jau-atlikta-1-2716613/
Kaunas,2019,66,78000,,https://www.aruodas.lt/butai-kaune-silainiuose-9-ojo-forto-g-nauji-kotedzai-tiesiai-is-statytojo-1-2782933/
Vilnius,2015,48,129600,"20,64",https://www.aruodas.lt/butai-vilniuje-naujamiestyje-mindaugo-g-parduodamas-stilingas-sviesus-ir-puikiai-1-2793395/
Vilnius,2015,45,155000,"13,50",https://www.aruodas.lt/butai-vilniuje-zveryne-stirnu-g-butas-parduodamas-be-tarpininku-1-2778331/
Vilnius,2018,"65,64",166000,,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-3-ju-kambariu-butas-su-pilna-1-2653405/
Vilnius,2010,"78,46",227000,"45,51",https://www.aruodas.lt/butai-vilniuje-senamiestyje-a-strazdelio-g-parduodami-prabangus-4-kambariu-apartamentai-1-2735063/
Vilnius,2000,"64,68",130000,,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-s-konarskio-g-parduodamas-jaukus-3k-su-sandeliuku-butas-1-2729269/
Vilnius,1977,50,76500,"42,00",https://www.aruodas.lt/butai-vilniuje-virsuliskese-justiniskiu-g-atviru-duru-diena-si-ketvirtadieni-1017-d-1-2799047/
Palanga,2008,60,119000,,https://www.aruodas.lt/butai-palangoje-j-biliuno-g-parduodamas-3-kambariu-butas-palangos-centre-1-2767373/
Vilnius,2008,"78,91",198000,"60,76",https://www.aruodas.lt/butai-vilniuje-zveryne-saltoniskiu-g-atviri-namai-spalio-19d-sestadienis-nuo-1-2798833/
Vilnius,2015,"55,88",117700,,https://www.aruodas.lt/butai-vilniuje-baltupiuose-kazio-ulvydo-g-butas-issiskiria-savo-erdvumu-funkcionaliu-1-2752139/
Palanga,2020,"31,87",50992,,https://www.aruodas.lt/butai-palangoje-mokyklos-g-kvieciu-jus-susipazinti-su-elijos-projektu-1-2747761/
Klaipėda,2019,"78,89",118000,,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-atviru-duru-dienos-spalio-1718-d-1-2794113/
Vilnius,2015,48,129600,"20,64",https://www.aruodas.lt/butai-vilniuje-naujamiestyje-mindaugo-g-parduodamas-kokybiskai-ir-stilingai-irengtas-1-2799419/
