city,years,area,rooms,price,avg_heat_per_m,created_at,updated_at,url
Vilnius,1987,"64,41",3,109900,,2019-11-25,2019-12-03,https://www.aruodas.lt/butai-vilniuje-jeruzaleje-mokyklos-g-mediena-eukaliptais-ir-vis-dar-dazais-1-2819615/
Vilnius,2019,"83,03",4,117500,,2019-11-14,2019-12-02,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-demesio-gruodzio-5-d-ketvirtadieni-15-19-1-2814359/
Kaunas,1970,"47,4",3,47500,"26,07",2019-11-20,2019-12-03,https://www.aruodas.lt/butai-kaune-dainavoje-pramones-pr-sveiki-parduodu-triju-kambariu-buta-viename-1-2817489/
Vilnius,2007,72,3,126500,"38,16",2019-11-10,2019-11-24,https://www.aruodas.lt/butai-vilniuje-pilaiteje-m-mazvydo-g-parduodamas-pilnai-irengtas-erdvus-3-1-2693395/
Kaunas,2019,"46,66",2,93273,,2019-11-27,2019-12-02,https://www.aruodas.lt/butai-kaune-zaliakalnyje-algirdo-g-parduodamas-2-k-butas-su-balkonu-494-kvm-1-2820563/
Kaunas,2019,"61,88",3,114478,,2019-11-26,2019-12-02,https://www.aruodas.lt/butai-kaune-zaliakalnyje-algirdo-g-parduodamas-3-k-butas-su-pilna-apdaila-1-2820107/
Kaunas,2019,50,2,57000,,2019-12-02,2019-12-03,https://www.aruodas.lt/butai-kaune-silainiuose-mikenu-aklg-labai-gera-kaina-parduodamas-2-k-kaunas-1-2823219/
Kaunas,1997,119,4,117000,,2019-11-26,2019-12-03,https://www.aruodas.lt/butai-kaune-dainavoje-v-kreves-pr-parduodamas-erdvus-butas-ir-garazas-dviems-1-2820035/
Vilnius,2011,123,5,220000,"65,19",2019-12-02,2019-12-02,https://www.aruodas.lt/butai-vilniuje-pilaiteje-nidos-g-parduodamas-5-kambariu-pilnai-irengtas-butas-1-2823329/
Vilnius,2016,64,2,181800,,2019-11-30,2019-12-02,https://www.aruodas.lt/butai-vilniuje-zveryne-kestucio-g-zveryno-sirdyje-kestucio-gatveje-1-2728453/
Kaunas,2019,70,3,87500,,2019-12-02,2019-12-02,https://www.aruodas.lt/butai-kaune-silainiuose-9-ojo-forto-g-nauji-kotedzai-tiesiai-is-statytojo-1-2814925/
Vilnius,2018,72,3,106000,,2019-11-22,2019-11-30,https://www.aruodas.lt/butai-vilniuje-tarandeje-avizieniu-g-statytojo-kainomis-butas-pilnai-1-2728637/
Vilnius,1967,42,2,110000,,2019-10-26,2019-11-30,https://www.aruodas.lt/butai-vilniuje-antakalnyje-p-vileisio-g-su-meile-kiekvienai-detalei-originaliai-1-2805113/
Vilnius,1967,46,2,119000,,2019-10-26,2019-12-02,https://www.aruodas.lt/butai-vilniuje-antakalnyje-p-vileisio-g-dizaineriu-sudijos-dizu-irengtas-2-1-2805115/
Vilnius,1967,52,2,134000,,2019-10-26,2019-11-30,https://www.aruodas.lt/butai-vilniuje-antakalnyje-p-vileisio-g-dizaineriu-sudijos-dizu-irengtas-2-1-2805117/
Kaunas,2019,22,1,37400,,2019-09-04,2019-12-03,https://www.aruodas.lt/butai-kaune-aleksote-leipalingio-g-parduodamas-studio-tipo-butas-geriausiame-1-2770769/
Vilnius,2010,94,3,265000,,2019-11-02,2019-11-29,https://www.aruodas.lt/butai-vilniuje-valakampiuose-svajoniu-g-valakampiuose-pusyno-apsuptyje-uzdarame-1-2732375/
Klaipėda,2019,"56,05",3,92000,,2019-11-30,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-nauji-butai-muriniame-name-parduodami-be-1-2822157/
Vilnius,2019,"34,22",1,77966,,2019-11-26,2019-12-03,https://www.aruodas.lt/butai-vilniuje-snipiskese-linkmenu-g-linkmenu-ezerai-gamtos-ir-miesto-1-2804313/
Vilnius,2018,"65,64",3,166000,"6,56",2019-10-01,2019-11-29,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-3-ju-kambariu-butas-su-pilna-1-2653405/
Vilnius,2018,"36,8",1,92000,"3,68",2019-11-21,2019-11-29,https://www.aruodas.lt/butai-vilniuje-markuciuose-manufakturu-g-parduodamas-1-o-kambario-butas-su-jau-atlikta-1-2716613/
Klaipėda,2019,"24,61",1,46000,,2019-11-30,2019-12-03,https://www.aruodas.lt/butai-klaipedoje-varpuose-varpu-g-nauji-butai-muriniame-name-parduodami-be-1-2822153/
Kaunas,2019,66,3,78000,,2019-10-24,2019-12-02,https://www.aruodas.lt/butai-kaune-silainiuose-9-ojo-forto-g-nauji-kotedzai-tiesiai-is-statytojo-1-2782933/
Kaunas,2019,60,3,76800,,2019-10-24,2019-12-02,https://www.aruodas.lt/butai-kaune-silainiuose-9-ojo-forto-g-nauji-kotedzai-tiesiai-is-statytojo-1-2782927/
Kaunas,2008,"54,57",2,75000,,2019-12-02,2019-12-02,https://www.aruodas.lt/butai-kaune-zemutiniuose-kaniukuose-ikalnes-aklg-tvarkingas-rajonas-akligatvis-yra-bendrija-1-2823615/
Vilnius,2019,"44,31",2,82000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-vilniuje-pilaiteje-tolminkiemio-g-parduodamas-pilnai-irengtas-butas-naujai-1-2816615/
Kaunas,1982,65,3,98000,,2019-12-03,2019-12-03,https://www.aruodas.lt/butai-kaune-zaliakalnyje-birzelio-23-iosios-g-naujas-65-kvm-prabangiai-irengtas-butas-su-1-2798183/
