city,years,area,price,avg_heat_per_m,url
Kauno m.,2019,70,65000,,https://www.skelbiu.lt/skelbimai/naujos-statybos-kotedzas-44008107.html
Vilniaus m.,2018,"46,39",87000,,https://www.skelbiu.lt/skelbimai/vilnius-pasilaiciai-sviliskiu-g-2-kamb-butas-44182717.html
Klaipėdos m.,2009,101,139000,,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-3k-buta-kauno-g-9a-klaipeda-41111889.html
Mažeikių m.,1982,50,42500,,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-mazeikiai-44211441.html
Alytaus m.,1973,"34,92",17800,,https://www.skelbiu.lt/skelbimai/parduodamas-1-kam-butas-su-2-balkonais-alytuje-44134215.html
Klaipėdos m.,2016,56,100000,,https://www.skelbiu.lt/skelbimai/parduodu-buta-44219433.html
Klaipėdos m.,2019,"40,31",58000,,https://www.skelbiu.lt/skelbimai/atviru-duru-dienos-spalio-17-18-d-44104605.html
Vilniaus m.,2008,67,122400,,https://www.skelbiu.lt/skelbimai/butas-su-zidiniu-lazdyneliu-g-44164563.html
Klaipėdos m.,2019,"78,89",118000,,https://www.skelbiu.lt/skelbimai/atviru-duru-dienos-spalio-17-18-d-43985353.html
Klaipėdos m.,1973,42,35500,,https://www.skelbiu.lt/skelbimai/parduodamas-41775405.html
Varėnos m.,1978,30,13000,,https://www.skelbiu.lt/skelbimai/varenoje-parduodamas-butas-37322711.html
Klaipėdos m.,1978,64,62500,,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-3-kambariu-buta-44172801.html
Klaipėdos m.,2012,35,57000,,https://www.skelbiu.lt/skelbimai/klp-centrineje-dalyje-namo-dali-su-ukiniu-zeme-40837841.html
Klaipėdos m.,1991,55,49000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-su-holu-55kv-butas-banduziu-g-7-44038855.html
Klaipėdos m.,2008,57,89000,,https://www.skelbiu.lt/skelbimai/tauralaukyje-naujos-statybos-57-m2-butas-44069147.html
Klaipėdos m.,1981,"33,34",32800,,https://www.skelbiu.lt/skelbimai/parduodamas-suremontuotas-tvarkingas-1kamb-butas-43689965.html
Prienų m.,1975,45,34500,,https://www.skelbiu.lt/skelbimai/dvieju-kambariu-butas-centre-44203621.html
Vilniaus m.,2015,78,189900,,https://www.skelbiu.lt/skelbimai/78-m2-pilnai-irengtas-butas-karoliniskese-42190583.html
Panevėžio m.,1989,87,400,,https://www.skelbiu.lt/skelbimai/ieskome-buto-namo-su-isperkamaja-nuoma-44182037.html
Palangos m.,1994,75,73000,,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-druskininku-g-40596537.html
Panevėžio m.,1993,"56,92",45000,,https://www.skelbiu.lt/skelbimai/jaukus-2ju-kambariu-butas-44110151.html
Klaipėdos m.,1990,"46,62",72000,,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-centre-j-janonio-g-44173551.html
Klaipėdos m.,2015,79,105000,,https://www.skelbiu.lt/skelbimai/parduoda-savininkai-41934637.html
