city,years,area,rooms,price,url
Klaipėdos m.,1963,43,2,64000,https://www.skelbiu.lt/skelbimai/parduoda-savininkas-45208835.html
Panevėžio m.,1973,61,3,46000,https://www.skelbiu.lt/skelbimai/3-kambariu-ypatingai-siltas-butas-su-baldais-42011385.html
Klaipėdos m.,1967,"44,28",2,55000,https://www.skelbiu.lt/skelbimai/butas-klaipedos-centre-44685561.html
Klaipėdos m.,2019,"56,05",3,92000,https://www.skelbiu.lt/skelbimai/klaipeda-varpai-varpu-g-4b-3-kamb-butas-45150101.html
Klaipėdos m.,1984,71,3,69950,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-1984-m-plytiniame-name-44300971.html
Klaipėdos m.,1975,"47,50",2,39500,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-2-ju-kambariu-buta-45221503.html
Klaipėdos m.,2019,"25,61",1,46000,https://www.skelbiu.lt/skelbimai/klaipeda-varpai-varpu-g-4b-1-kamb-butas-45150157.html
Klaipėdos m.,2010,82,3,140000,https://www.skelbiu.lt/skelbimai/parduodamas-labai-jaukus-panoraminis-3k-butas-45203797.html
Klaipėdos m.,1910,52,2,120000,https://www.skelbiu.lt/skelbimai/savininkas-2-kamb-butas-klaipedos-senamiestyje-44349791.html
Kauno m.,1968,"47,16",2,54234,https://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-2-k-butas-taikos-pr-kaunas-43123077.html
Klaipėdos m.,1991,47,2,48900,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-44887589.html
Klaipėdos m.,2008,35,1,58500,https://www.skelbiu.lt/skelbimai/zolynu-g-1-k-b-su-balkonu-43132551.html
Dembavos k.,1988,"64,16",3,41000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-dembavoje-44974621.html
Panevėžio m.,1979,"52,40",2,44000,https://www.skelbiu.lt/skelbimai/parduodu-buta-44188385.html
Klaipėdos m.,1980,47,2,44900,https://www.skelbiu.lt/skelbimai/savininkas-2-kambariu-butas-nidos-gatveje-44064705.html
Klaipėdos m.,1966,52,2,69000,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-butas-h-manto-g-44247453.html
Klaipėdos m.,2018,63,2,127000,https://www.skelbiu.lt/skelbimai/naujos-statybos-irengtas-su-vaizdu-i-danes-upe-39370063.html
Vilniaus m.,2015,"77,50",3,182900,https://www.skelbiu.lt/skelbimai/3-ju-kambariu-butas-pusiu-apsuptyje-44597065.html
Vilniaus m.,1982,"63,30",3,79999,https://www.skelbiu.lt/skelbimai/nestandartinis-siltas-ir-jaukus-butas-43950497.html
Mažeikių m.,1982,50,2,42500,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-mazeikiai-44211441.html
Klaipėdos m.,1991,55,2,49000,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-su-holu-55kv-butas-banduziu-g-7-44038855.html
Klaipėdos m.,1950,50,2,62900,https://www.skelbiu.lt/skelbimai/isskirtinis-2-kam-butas-netoli-centro-44255063.html
Telšių m.,1970,50,2,27600,https://www.skelbiu.lt/skelbimai/2k-butas-2-aukstas-42322917.html
Kauno m.,1969,"47,10",2,40000,https://www.skelbiu.lt/skelbimai/akcija-namo-dalis-dvieju-kambariu-butas-su-sklypu-43545913.html
Kėdainių m.,1988,50,2,38500,https://www.skelbiu.lt/skelbimai/puikiai-kokybiskai-suremontuotas-2k-butas-43714369.html
Šiaulių m.,1980,81,4,64000,https://www.skelbiu.lt/skelbimai/4-kambariu-butas-44575587.html
Vilniaus m.,1985,"50,54",2,61000,https://www.skelbiu.lt/skelbimai/parduodu-2-kamb-nekampini-buta-justiniskese-45231689.html
Klaipėdos m.,1976,34,2,48600,https://www.skelbiu.lt/skelbimai/moderniai-irengtas-butas-45231021.html
Alytaus m.,1992,"61,84",3,65000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kamb-butas-45230303.html
Klaipėdos m.,1963,57,3,75000,https://www.skelbiu.lt/skelbimai/naujai-irengtas-butas-miesto-centre-45229657.html
Ukmergės m.,1969,"46,71",2,23000,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-ukmegeje-anyksciu-g-45228549.html
Šiaulių m.,1975,28,1,26500,https://www.skelbiu.lt/skelbimai/parduodamas-1k-vidurinis-butas-45227917.html
Vilniaus m.,1977,21,1,50000,https://www.skelbiu.lt/skelbimai/parduodamas-1k-butas-45226849.html
Klaipėdos m.,1977,61,3,61000,https://www.skelbiu.lt/skelbimai/perplanuotas-3-kamb-butas-laukininku-g-45225971.html
Pakruojo m.,1984,77,4,19000,https://www.skelbiu.lt/skelbimai/keiciu-4-kambariu-buta-45119439.html
Vilniaus m.,2008,40,1,350,https://www.skelbiu.lt/skelbimai/isnuomojas-butas-45220901.html
Mažeikių m.,1980,50,2,34000,https://www.skelbiu.lt/skelbimai/parduodamas-2kambariu-butas-45220135.html
Klaipėdos m.,1962,"36,50",2,40000,https://www.skelbiu.lt/skelbimai/parduodu-2-k-buta-45219507.html
Klaipėdos m.,2012,40,2,69000,https://www.skelbiu.lt/skelbimai/su-parkingu-centre-2k-naujos-statybos-41454901.html
Klaipėdos m.,1972,33,1,35999,https://www.skelbiu.lt/skelbimai/parduodamas-butas-debreceno-g-45217895.html
Kauno m.,1984,"51,82",2,57000,https://www.skelbiu.lt/skelbimai/dvieju-kambariu-butas-renovuotame-name-45216003.html
Klaipėdos m.,1989,"54,28",2,60000,https://www.skelbiu.lt/skelbimai/butai-45210341.html
Šiaulių m.,1975,48,3,39000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-44481239.html
Vilkijos m.,1959,"42,88",2,18500,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-vilkijoje-45174947.html
Stonų k.,1991,52,2,32000,https://www.skelbiu.lt/skelbimai/parduodamas-2-ju-kambariu-butas-45209581.html
Telšių m.,1971,"53,43",2,33000,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-kestutcio-g-42873749.html
Klaipėdos m.,1963,43,2,67000,https://www.skelbiu.lt/skelbimai/2-ju-kambariu-butas-45208943.html
Visagino m.,1986,76,3,30000,https://www.skelbiu.lt/skelbimai/labai-grazus-3-kambariu-butas-su-hola-76-kv-m-44842625.html
Gudienos k.,1980,52,2,25000,https://www.skelbiu.lt/skelbimai/parduodu-dvieju-kambariu-buta-52m-instituto-4-45208431.html
Šiaulių m.,1966,"43,98",2,32500,https://www.skelbiu.lt/skelbimai/2-ju-k-butas-miesto-centre-45208249.html
Kauno m.,1987,50,2,52500,https://www.skelbiu.lt/skelbimai/parduodamas-2ju-kambariu-butas-silainiuose-44023627.html
Panevėžio m.,1983,"49,68",2,39000,https://www.skelbiu.lt/skelbimai/2-kambariu-butas-klaipedos-gatveje-45206873.html
Plungės m.,1979,"31,71",1,25000,https://www.skelbiu.lt/skelbimai/pardudu-45206733.html
Klaipėdos m.,1954,46,2,86000,https://www.skelbiu.lt/skelbimai/grazus-butas-senamiestyje-41903997.html
Lentvario m.,1990,35,1,35000,https://www.skelbiu.lt/skelbimai/parduodamas-1-kambario-butas-pakalnes-g-45205909.html
Radviliškio m.,1971,"49,04",2,28900,https://www.skelbiu.lt/skelbimai/pardudamas-2k-butas-radviliskio-mieste-44561471.html
Klaipėdos m.,1974,47,2,50000,https://www.skelbiu.lt/skelbimai/geras-2-kamb-butas-zardininku-g-5-2-45205529.html
Bokštų k.,1967,70,4,6000,https://www.skelbiu.lt/skelbimai/gyvenkite-grazioje-ir-ramioje-vietoje-35182735.html
Alytaus m.,1983,"68,12",3,49999,https://www.skelbiu.lt/skelbimai/3-kambariu-butas-vidzgirio-raj-su-euro-remontu-45193611.html
Kėdainių m.,1970,25,1,14500,https://www.skelbiu.lt/skelbimai/prabangiai-irengtas-butas-45193339.html
Šilalės m.,1980,58,3,55000,https://www.skelbiu.lt/skelbimai/parduodu-3-kambariu-buta-basanaviciaus-gatveje-45192213.html
Marijampolės m.,1980,33,1,25000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-45191857.html
Prienų m.,1977,"55,64",3,60000,https://www.skelbiu.lt/skelbimai/parduodu-buta-45189875.html
Juodupės mstl.,1968,42,2,2700,https://www.skelbiu.lt/skelbimai/parduodamas-butas-juodupeje-45190059.html
Kauno m.,1978,64,3,63000,https://www.skelbiu.lt/skelbimai/3-ju-kambariu-butas-45188755.html
Gargždų m.,1998,"50,05",2,45000,https://www.skelbiu.lt/skelbimai/parduodu-2-u-kambariu-buta-gargzduose-43770807.html
Neveronių k.,1976,"48,34",2,36000,https://www.skelbiu.lt/skelbimai/skubiai-parduodamas-2-kamb-butas-neveronyse-43971023.html
Kauno m.,1992,51,2,72000,https://www.skelbiu.lt/skelbimai/geras-butas-43372055.html
Jonavos m.,1980,64,3,47000,https://www.skelbiu.lt/skelbimai/3k-butas-vasario-16-osios-g-18-namas-45183353.html
Gelgaudiškio m.,2019,85,3,13000,https://www.skelbiu.lt/skelbimai/3kambariu-butas-45182701.html
Alytaus m.,1977,75,4,70000,https://www.skelbiu.lt/skelbimai/4-kambariu-siltas-jaukus-butas-renovuotame-name-45182685.html
Vilkaviškio m.,1996,50,2,24000,https://www.skelbiu.lt/skelbimai/parduodame-2-kamb-buta-vilkaviskyje-45181873.html
Klaipėdos m.,1992,77,3,55000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-su-holu-butas-40803515.html
Vilniaus m.,2006,"39,11",1,74000,https://www.skelbiu.lt/skelbimai/butas-su-rusio-sandeliuku-be-tarpininku-45180881.html
Vilniaus m.,1974,"51,37",2,51000,https://www.skelbiu.lt/skelbimai/parduodu-2-kamb-buta-45180703.html
Plungės m.,1981,34,1,26000,https://www.skelbiu.lt/skelbimai/1-kambario-butas-1-a-5-su-balkonu-a-jucio-g-45180399.html
Vilniaus m.,2007,60,2,110000,https://www.skelbiu.lt/skelbimai/parduodu-39934049.html
Skirlėnų k.,1970,48,3,8500,https://www.skelbiu.lt/skelbimai/3-kamb-butas-vilniaus-r-sav-skirlenai-36954223.html
Gargždų m.,1977,78,4,47000,https://www.skelbiu.lt/skelbimai/4-kambariu-butas-gargzduose-43955961.html
Klaipėdos m.,1979,63,3,56500,https://www.skelbiu.lt/skelbimai/3-k-butas-simonaitytes-g-nauja-kaina-41698033.html
Panemunės m.,1986,64,3,15000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-pagegiu-sav-panemuneje-42661385.html
Klaipėdos m.,1968,40,2,39500,https://www.skelbiu.lt/skelbimai/naujai-suremontuotas-butas-45179311.html
Klaipėdos m.,1970,"71,85",3,64000,https://www.skelbiu.lt/skelbimai/savininkas-parduoda-3-kambariu-buta5-2a-45178589.html
Alytaus m.,1989,36,1,23000,https://www.skelbiu.lt/skelbimai/parduodu-1-kambario-buta-arba-keiciu-i-vilniuje-44487249.html
Šiaulių m.,1963,"54,78",3,69000,https://www.skelbiu.lt/skelbimai/parduodamas-3-kambariu-butas-45177759.html
Ukmergės m.,1970,45,2,25300,https://www.skelbiu.lt/skelbimai/parduodamas-butas-esantis-ukmergeje-anyksciu-g-45177571.html
Kauno m.,1975,"66,88",3,42000,https://www.skelbiu.lt/skelbimai/3-ju-kambariu-butas-v-kreves-pr-45177023.html
Mažeikių m.,1983,65,3,26000,https://www.skelbiu.lt/skelbimai/3-kamb-butas-naftininku-g-mazeikiuose-45176707.html
Merkinės mstl.,1984,69,3,23000,https://www.skelbiu.lt/skelbimai/3-kamb-butas-merkineje-45176535.html
Šiaulių m.,1983,"36,50",1,30600,https://www.skelbiu.lt/skelbimai/parduodamas-tvarkingas-ir-siltas-1-kambario-butas-45175681.html
Klemiškės I k.,1965,30,3,30900,https://www.skelbiu.lt/skelbimai/butas-ginduliuose-2-kamb-30kv-2a-zemes-27021935.html
Vainotiškių k.,1978,76,3,17000,https://www.skelbiu.lt/skelbimai/parduodamas-butas-42734563.html
Pažagienių k.,1990,44,2,25000,https://www.skelbiu.lt/skelbimai/parduodamas-2-kambariu-butas-pazagieniuose-45174231.html
Kelmės m.,1971,54,2,20000,https://www.skelbiu.lt/skelbimai/parduodamas-2-k-butas-kelmeje-nepriklausomybes-g-27179785.html
Mažeikių m.,1977,"51,71",2,19000,https://www.skelbiu.lt/skelbimai/parduoda-buta-43315045.html
Klaipėdos m.,2012,36,2,74000,https://www.skelbiu.lt/skelbimai/naujos-statybos-name-parduodamas-2-kambariu-buta-44416379.html
Vilniaus m.,1974,64,3,64000,https://www.skelbiu.lt/skelbimai/sviesus-jaukus-3k-butas-geroje-vietoje-vilniuje-45170687.html
